iter	Passed	Remaining
0	68	68096
1	68	34391
2	69	23191
3	70	17638
4	71	14248
5	72	11976
6	73	10359
7	73	9145
8	74	8198
9	75	7474
10	76	6851
11	76	6332
12	77	5898
13	78	5528
14	79	5202
15	79	4918
16	80	4669
17	81	4458
18	82	4256
19	83	4070
20	83	3900
21	84	3747
22	84	3608
23	85	3479
24	86	3360
25	86	3258
26	87	3167
27	88	3076
28	89	2988
29	89	2905
30	90	2827
31	91	2756
32	91	2688
33	92	2624
34	93	2570
35	94	2520
36	94	2467
37	95	2415
38	96	2366
39	96	2319
40	97	2274
41	97	2233
42	98	2193
43	99	2164
44	100	2130
45	101	2095
46	101	2061
47	102	2027
48	102	1996
49	103	1966
50	104	1939
51	104	1911
52	105	1889
53	106	1864
54	107	1838
55	107	1814
56	108	1790
57	108	1768
58	109	1746
59	110	1724
60	110	1703
61	111	1686
62	112	1670
63	112	1651
64	113	1633
65	114	1616
66	114	1599
67	115	1584
68	116	1568
69	116	1552
70	117	1538
71	118	1527
72	119	1515
73	120	1503
74	120	1490
75	121	1478
76	122	1465
77	122	1452
78	123	1439
79	124	1430
80	125	1418
81	125	1407
82	125	1392
83	126	1380
84	127	1369
85	127	1358
86	128	1348
87	129	1338
88	129	1329
89	130	1321
90	131	1312
91	132	1302
92	132	1293
93	133	1284
94	133	1275
95	134	1266
96	135	1256
97	135	1247
98	136	1242
99	137	1236
100	138	1228
101	138	1220
102	139	1212
103	139	1204
104	140	1197
105	141	1189
106	141	1181
107	142	1175
108	143	1170
109	143	1164
110	144	1157
111	145	1151
112	145	1144
113	146	1137
114	147	1131
115	147	1125
116	148	1117
117	149	1113
118	149	1109
119	150	1104
120	151	1099
121	151	1093
122	152	1088
123	153	1083
124	154	1078
125	154	1073
126	155	1069
127	156	1064
128	156	1060
129	157	1055
130	158	1052
131	159	1048
132	160	1044
133	160	1039
134	162	1038
135	162	1034
136	163	1029
137	164	1025
138	164	1020
139	165	1015
140	165	1011
141	166	1005
142	167	1000
143	168	999
144	168	995
145	169	992
146	170	987
147	170	983
148	171	979
149	172	975
150	172	970
151	173	967
152	174	964
153	175	962
154	175	958
155	176	955
156	177	951
157	177	948
158	178	944
159	179	940
160	179	935
161	180	933
162	181	930
163	181	927
164	182	924
165	183	921
166	184	918
167	184	914
168	185	911
169	186	908
170	186	906
171	187	903
172	188	900
173	189	897
174	189	894
175	190	890
176	190	887
177	191	883
178	191	880
179	192	878
180	193	875
181	194	872
182	194	869
183	195	866
184	196	863
185	196	860
186	197	857
187	197	854
188	198	852
189	199	850
190	200	848
191	200	845
192	201	842
193	202	839
194	202	836
195	203	833
196	203	831
197	204	828
198	205	826
199	206	824
200	206	821
201	207	818
202	207	816
203	208	813
204	209	810
205	209	808
206	210	805
207	211	803
208	211	801
209	212	799
210	213	797
211	213	794
212	214	792
213	215	790
214	215	787
215	216	785
216	216	782
217	217	780
218	218	779
219	219	777
220	220	775
221	220	773
222	221	771
223	222	769
224	222	767
225	223	765
226	224	763
227	225	761
228	225	759
229	226	757
230	226	755
231	227	753
232	228	751
233	229	750
234	229	747
235	230	746
236	231	744
237	231	742
238	232	740
239	233	738
240	233	736
241	234	733
242	234	731
243	235	729
244	236	727
245	236	726
246	237	724
247	238	723
248	239	721
249	239	719
250	240	717
251	241	715
252	241	713
253	242	712
254	243	711
255	244	709
256	244	708
257	245	706
258	246	704
259	246	702
260	247	700
261	247	698
262	248	696
263	249	695
264	250	694
265	250	692
266	251	691
267	252	689
268	253	688
269	253	686
270	254	684
271	255	683
272	256	681
273	256	680
274	257	678
